header,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
0ppbLevo,0.6955073360554341,7.740603767093833e-4,0.069550734,0.9,1162.7,10
100ppbLevo,92.93267417,5.303726391015824,9.293267417122971,7273,1371.3,10
10ppbLevo,11.24905886756158,0.6075249254057201,1.1249058867561579,834.8,1374.1,10
1ppbLevo,2.1019525223428652,0.081634217,0.2101952522342865,106.5,1304.6,10
200ppbLevo,189.39072583027348,10.849348287359806,18.939072583027347,14316.8,1319.6,10
20ppbLevo,26.708674048154588,1.4963380281690142,2.670867404815459,1859.2,1242.5,10
2ppbLevo,3.686626286581856,0.17274119448698316,0.3686626286581856,225.6,1306,10
500ppbLevo,505.3959120501889,29.017300532885614,50.53959120501889,39750.8,1369.9,10
50ppbLevo,49.45105998408189,2.8038563829787235,4.945105998408189,3795.3,1353.6,10
5ppbLevo,6.387808907065082,0.3280391418893489,0.6387808907065082,435.8,1328.5,10
Blank1,1.4642143968755321,0.044969009626796785,0.14642143968755322,68.2,1516.6,10
Blank10,1.0199833892824086,0.019429025,0.10199833892824087,44.1,2269.8,10
Blank11,1.048831014407428,0.021087549,0.1048831014407428,53.4,2532.3,10
Blank12,0.9055154130183113,0.012847966,0.090551541,25.2,1961.4,10
Blank13,1.0234728470001289,0.019629642497307438,0.10234728470001288,56.5,2878.3,10
Blank14,1.041533508164963,0.020667996,0.1041533508164963,48.7,2356.3,10
Blank15,1.166946901598236,0.027878336,0.11669469015982362,74.7,2679.5,10
Blank16,0.5668493799471814,-0.006622817,0.056684937994718146,-14.6,2204.5,10
Blank17,0.9374095765880903,0.014681643367315794,0.093740958,48.1,3276.2,10
Blank18,1.0273321492778982,0.019851523727492718,0.10273321492778982,48.4,2438.1,10
Blank19,1.1181191977033968,0.025071105024755083,0.11181191977033969,71.4,2847.9,10
Blank2,0.7495346567456151,0.00388023,0.074953466,6,1546.3,10
Blank20,1.152729481375703,0.027060939395206825,0.11527294813757029,64.7,2390.9,10
Blank21,1.0884525912206253,0.023365495,0.10884525912206254,64.9,2777.6,10
Blank22,0.9367405647662033,0.014643180154184072,0.093674056,34,2321.9,10
Blank3,1.3232557145605908,0.036864931846344484,0.13232557145605908,95.2,2582.4,10
Blank4,1.222472602487173,0.031070651,0.12224726024871731,62.8,2021.2,10
Blank5,0.9686052070368917,0.016475161,0.096860521,39,2367.2,10
Blank6,0.9530114456850393,0.015578635014836797,0.095301145,35.7,2291.6,10
Blank7,0.9597264159952913,0.015964696,0.095972642,49.2,3081.8,10
Blank8,1.0863836429806577,0.023246546,0.10863836429806577,52.5,2258.4,10
Blank9,1.0200340337751415,0.019431936,0.10200340337751415,56.1,2887,10
CKSTD1-20ppbLevo,29.262062994317382,1.643138936535163,2.926206299431738,1915.9,1166,10
CKSTD10-200ppb,169.2064342683412,9.688901368,16.920643426834122,24155.4,2493.1,10
CKSTD11-5ppb,6.441476421963898,0.3311246255786512,0.6441476421963899,729.6,2203.4,10
CKSTD2-100ppb,96.58697603776004,5.513821616,9.658697603776004,11269.7,2043.9,10
CKSTD3-10ppb,3.338943902699562,0.1527520385470719,0.3338943902699562,329.7,2158.4,10
CKSTD4-5ppb,6.002800672854236,0.305904027,0.6002800672854236,697.4,2279.8,10
CKSTD5-200ppb,173.3408134745667,9.926597479,17.334081347456667,24964.4,2514.9,10
CKSTD6-20ppb,24.601902882102426,1.3752143265383883,2.4601902882102427,2887.4,2099.6,10
CKSTD7-100ppb,89.89343271689711,5.128992575018673,8.989343272,11674.1,2276.1,10
CKSTD8-10ppb,10.273557160617324,0.5514408192426767,1.0273557160617324,1389.3,2519.4,10
CKSTD9-5ppb,6.004947989807938,0.30602748145221476,0.6004947989807938,697.1,2277.9,10
CondBlank1,0.7095238109255754,0.001579904,0.070952381,2,1265.9,10
R1-LAG-1,5.631479958785466,0.28455584224106156,0.5631479958785466,231.6,813.9,10
R1-LAG-10,5.920376046926384,0.30116522258739165,0.5920376046926383,302.4,1004.1,10
R1-LAG-11,4.173716781758539,0.20074528188484195,0.4173716781758539,167,831.9,10
R1-LAG-2,40.41806411245592,2.2845261801569636,4.0418064112455925,1950.3,853.7,10
R1-LAG-3,42.043098188938174,2.3779535755178514,4.204309818893817,2284.5,960.7,10
R1-LAG-4,7.943166716357863,0.4174606691779304,0.7943166716357863,376.8,902.6,10
R1-LAG-5,29.331846076039735,1.6471509456691964,2.9331846076039736,1367.3,830.1,10
R1-LAG-6,11.15421152547974,0.6020719073735527,1.115421152547974,592.8,984.6,10
R1-LAG-7,10.940860812174176,0.5898058252427185,1.0940860812174176,413.1,700.4,10
R1-LAG-8,11.699045759138295,0.6333958310356236,1.1699045759138296,574.3,906.7,10
